Atributo,Valid_values,NoValid_values,NullValues,NoNullValues,TimeStamp
ItemName,1953,156,0,2109,2026-01-20
PricingPrc,2109,0,0,2109,2026-01-20
LeadTime,0,2109,2109,0,2026-01-20
ToleranDay,0,2109,2109,0,2026-01-20
U_beas_gruppe,2109,0,207,1902,2026-01-20
U_beas_prccode,2108,1,207,1902,2026-01-20
U_beas_prodrelease,2109,0,0,2109,2026-01-20
U_beas_batchroh,2109,0,0,2109,2026-01-20
PicturName,2109,0,2108,1,2026-01-20
U_beas_dispo,963,1146,1129,980,2026-01-20
U_EMPA_ESPESOR,1616,493,1308,801,2026-01-20
U_EMPA_DESIDAD,1616,493,1308,801,2026-01-20
U_EMPA_ANCHO,1616,493,1308,801,2026-01-20
U_PLG_CICLE,1672,437,1486,623,2026-01-20
ItemType,2109,0,0,2109,2026-01-20
UgpEntry,2106,3,0,2109,2026-01-20
InvntItem,2108,1,0,2109,2026-01-20
SellItem,2098,11,0,2109,2026-01-20
PrchseItem,2077,32,0,2109,2026-01-20
PriceUnit,2109,0,0,2109,2026-01-20
ItemClass,2109,0,0,2109,2026-01-20
MngMethod,2109,0,0,2109,2026-01-20
IWeight1,1961,148,25,2084,2026-01-20
InvntryUom,1975,134,2,2107,2026-01-20
DfltWH,952,1157,10,2099,2026-01-20
PlaningSys,1831,278,0,2109,2026-01-20
